@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute GhostsNum numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Action {North,South,East,West,Stop}

@data
9,21,North,4,1,-1,-1,10,-1,559,1,1,0,0,0,-1,North
9,22,North,4,1,-1,-1,11,-1,558,1,1,0,0,0,-1,North
9,23,North,4,1,-1,-1,12,-1,557,0,1,1,1,0,-1,East
10,23,East,4,1,-1,-1,10,-1,556,0,0,1,1,0,-1,East
11,23,East,4,1,-1,-1,10,-1,555,0,0,1,1,0,-1,East
12,23,East,4,1,-1,-1,9,-1,554,1,0,1,1,0,-1,East
13,23,East,4,1,-1,-1,7,-1,553,0,0,1,1,0,-1,East
14,23,East,4,1,-1,-1,7,-1,552,0,0,1,1,0,-1,East
15,23,East,4,1,-1,-1,5,-1,551,1,0,1,1,0,-1,East
16,23,East,4,1,-1,-1,5,-1,550,0,0,1,1,0,-1,East
17,23,East,4,1,-1,-1,7,-1,549,0,0,1,1,0,-1,East
18,23,East,4,1,-1,-1,8,-1,548,0,1,1,1,0,-1,South
18,22,South,4,1,-1,-1,8,-1,547,1,1,0,0,0,-1,South
18,21,South,4,1,-1,-1,8,-1,546,1,1,0,0,0,-1,South
18,20,South,4,1,-1,-1,6,-1,545,1,0,1,0,0,-1,West
17,20,West,4,1,-1,-1,4,-1,544,0,0,1,1,0,-1,West
16,20,West,4,1,-1,-1,4,-1,543,0,0,1,1,0,-1,West
15,20,West,4,1,-1,-1,4,-1,542,0,1,0,1,0,-1,South
15,19,South,4,1,-1,-1,4,-1,541,1,1,0,0,0,-1,South
15,18,South,4,1,-1,-1,2,-1,540,1,1,0,0,0,-1,South
15,17,South,4,1,-1,-1,1,-1,539,1,0,1,1,0,-1,East
15,17,South,4,1,-1,-1,1,-1,539,1,0,1,1,0,-1,East
8,1,West,4,4,5,6,7,15,99,1,0,1,1,67,1,North
8,2,North,4,4,4,6,5,14,98,1,1,0,0,67,2,North
8,3,North,4,4,3,6,5,14,97,0,1,0,1,67,2,East
9,3,East,4,4,3,4,3,12,96,1,0,1,1,67,3,North
9,4,North,4,4,2,4,2,10,95,1,1,0,0,67,2,North
9,5,North,4,3,-1,2,1,10,294,1,1,1,1,67,1,East
10,5,East,4,2,-1,2,-1,8,493,1,0,1,1,67,1,North
10,6,North,4,2,-1,2,8,10,592,1,1,1,0,66,1,West
9,6,West,4,2,12,1,-1,12,691,1,1,0,1,65,1,South
9,5,South,4,1,11,-1,6,10,890,1,1,1,1,65,2,South
9,4,South,4,1,9,-1,5,9,889,1,1,0,0,65,3,South
9,3,South,4,1,8,-1,3,9,888,1,0,1,1,65,3,East
10,3,East,4,1,10,-1,5,9,887,0,0,1,1,65,2,East
11,3,East,4,1,-1,-1,6,8,886,0,1,1,0,65,2,South
11,2,South,4,1,-1,-1,6,10,885,1,1,0,0,65,1,South
11,1,South,4,1,-1,6,8,10,984,1,0,1,1,64,1,East
12,1,East,4,1,-1,7,9,9,1083,0,0,1,1,63,1,East
13,1,East,4,1,-1,9,9,8,1182,1,0,1,0,62,1,North
13,2,North,4,1,-1,8,8,7,1281,1,1,0,0,61,1,North
13,3,North,4,1,13,8,8,6,1380,1,1,0,0,60,1,North
13,4,North,4,1,14,8,7,6,1479,1,1,0,0,59,1,North
13,5,North,4,1,15,8,8,8,1578,1,1,0,1,58,1,East
14,5,East,4,1,15,9,9,-1,1677,0,0,1,1,57,1,East
15,5,East,4,1,16,10,10,-1,1776,1,0,1,1,56,1,East
16,5,East,4,1,17,12,12,-1,1875,0,1,1,1,55,1,South
16,4,South,4,1,15,11,11,-1,1974,1,1,0,0,54,1,South
16,3,South,4,1,16,11,11,-1,2073,1,0,1,0,53,1,West
15,3,West,4,1,16,11,10,-1,2172,0,1,0,1,52,1,South
15,3,West,4,1,16,11,10,-1,2172,0,1,0,1,52,1,South
1,5,South,4,4,5,8,13,15,-1,1,1,0,0,0,-1,South
1,4,South,4,4,5,9,11,17,-2,1,1,0,1,0,-1,South
1,3,South,4,4,4,9,12,19,-3,1,0,0,1,0,-1,East
2,3,East,4,4,4,8,10,17,-4,1,0,1,1,0,-1,East
3,3,East,4,4,3,6,9,17,-5,1,0,1,1,0,-1,East
4,3,East,4,4,1,4,7,17,-6,1,0,1,1,0,-1,East
5,3,East,4,3,-1,4,5,15,193,1,0,1,1,0,-1,North
5,4,North,4,3,-1,2,5,13,192,0,1,1,1,0,-1,East
6,4,East,4,3,-1,3,3,11,191,0,1,1,1,0,-1,East
7,4,East,4,3,-1,5,1,11,190,1,1,1,1,0,-1,East
8,4,East,4,2,-1,6,-1,11,389,0,1,1,1,0,-1,East
9,4,East,4,2,-1,6,-1,9,388,0,1,1,1,0,-1,East
10,4,East,4,2,-1,8,-1,8,387,0,1,1,1,0,-1,East
11,4,East,4,2,-1,10,-1,8,386,0,1,1,1,0,-1,East
12,4,East,4,2,-1,11,-1,6,385,0,1,1,1,0,-1,East
13,4,East,4,2,-1,13,-1,6,384,0,1,1,1,0,-1,East
14,4,East,4,2,-1,13,-1,4,383,1,1,1,1,0,-1,North
14,5,North,4,2,-1,13,-1,4,382,1,1,0,0,0,-1,North
14,6,North,4,2,-1,13,-1,6,381,0,1,1,1,0,-1,East
15,6,East,4,2,-1,15,-1,5,380,0,0,1,1,0,-1,East
16,6,East,4,2,-1,15,-1,5,379,0,1,1,1,0,-1,South
16,5,South,4,2,-1,16,-1,3,378,1,1,0,0,0,-1,South
16,4,South,4,2,-1,17,-1,1,377,1,1,1,1,0,-1,South
16,3,South,4,2,-1,17,-1,2,376,1,0,1,1,0,-1,East
17,3,East,4,2,-1,18,-1,1,375,1,0,1,1,0,-1,North
17,4,North,4,1,-1,18,-1,-1,574,0,1,1,1,0,-1,West
16,4,West,4,1,-1,17,-1,-1,573,1,1,1,1,0,-1,North
16,5,North,4,1,-1,15,-1,-1,572,1,1,0,0,0,-1,North
16,6,North,4,1,-1,17,-1,-1,571,0,1,1,1,0,-1,West
15,6,West,4,1,-1,17,-1,-1,570,0,0,1,1,0,-1,West
14,6,West,4,1,-1,15,-1,-1,569,0,1,1,1,0,-1,South
14,5,South,4,1,-1,13,-1,-1,568,1,1,0,0,0,-1,South
14,4,South,4,1,-1,11,-1,-1,567,1,1,1,1,0,-1,South
14,3,South,4,1,-1,11,-1,-1,566,1,0,1,1,0,-1,West
13,3,West,4,1,-1,9,-1,-1,565,1,0,1,1,0,-1,West
12,3,West,4,1,-1,8,-1,-1,564,1,0,1,1,0,-1,West
11,3,West,4,1,-1,6,-1,-1,563,1,0,1,1,0,-1,West
10,3,West,4,1,-1,6,-1,-1,562,1,0,1,1,0,-1,North
10,4,North,4,1,-1,6,-1,-1,561,0,1,1,1,0,-1,West
9,4,West,4,1,-1,5,-1,-1,560,0,1,1,1,0,-1,West
8,4,West,4,1,-1,5,-1,-1,559,0,1,1,1,0,-1,South
8,3,South,4,1,-1,3,-1,-1,558,1,0,1,1,0,-1,West
7,3,West,4,1,-1,2,-1,-1,557,1,0,1,1,0,-1,West
6,3,West,4,1,-1,1,-1,-1,556,1,0,1,1,0,-1,West
6,3,West,4,1,-1,1,-1,-1,556,1,0,1,1,0,-1,West
1,3,West,4,4,1,-1,-1,6,99,0,1,0,1,1,3,South
1,2,South,4,3,-1,-1,-1,6,298,1,1,0,0,1,2,South
1,1,South,4,3,1,-1,-1,6,497,1,0,0,1,1,3,East
2,1,East,4,2,2,4,-1,5,696,0,0,1,1,1,2,East
3,1,East,4,2,3,-1,-1,3,695,1,0,1,1,1,1,East
4,1,East,4,2,5,2,-1,3,694,0,0,1,1,1,2,East
5,1,East,4,1,6,-1,-1,3,1293,1,0,1,0,1,3,North
5,2,North,4,1,4,-1,-1,1,1492,1,1,0,0,1,2,North
5,2,North,4,1,4,-1,-1,1,1492,1,1,0,0,1,2,North
3,3,West,4,4,3,-1,-1,-1,-1,0,0,1,1,2,3,West
2,3,West,4,4,-1,-1,-1,-1,-2,0,0,1,1,2,2,West
1,3,West,4,4,1,-1,-1,-1,-3,0,1,0,1,2,2,South
1,2,South,4,3,-1,-1,-1,-1,396,1,1,0,0,2,1,South
1,1,South,4,3,1,-1,-1,-1,695,1,0,0,1,1,1,East
2,1,East,4,3,2,-1,-1,13,794,0,0,1,1,0,-1,East
3,1,East,4,2,4,-1,-1,-1,993,0,0,1,1,0,-1,East
4,1,East,4,2,4,-1,-1,-1,992,0,0,1,1,0,-1,East
5,1,East,4,1,5,-1,-1,-1,1391,0,0,1,1,0,-1,East
6,1,East,4,1,6,-1,-1,-1,1390,0,0,1,1,0,-1,East
7,1,East,4,1,6,-1,-1,8,1389,0,0,1,1,0,-1,East
8,1,East,4,1,6,-1,-1,7,1388,0,0,1,1,0,-1,East
9,1,East,4,1,7,-1,-1,-1,1387,1,0,1,1,0,-1,North
9,2,North,4,1,7,-1,-1,-1,1386,1,1,0,0,0,-1,North
9,3,North,4,1,6,-1,-1,-1,1385,0,1,1,1,0,-1,East
10,3,East,4,1,8,-1,-1,-1,1384,0,0,1,1,0,-1,East
11,3,East,4,1,8,-1,-1,4,1383,0,0,1,1,0,-1,East
12,3,East,4,1,9,-1,-1,2,1382,0,0,1,1,0,-1,East
12,3,East,4,1,9,-1,-1,2,1382,0,0,1,1,0,-1,East
15,3,East,4,4,16,15,12,14,-1,1,0,1,1,0,-1,North
15,4,North,4,4,15,15,11,13,-2,1,1,0,0,0,-1,North
15,5,North,4,4,13,13,11,11,-3,0,1,0,1,0,-1,East
16,5,East,4,4,13,14,13,11,-4,0,0,1,1,0,-1,East
17,5,East,4,4,15,16,15,10,-5,0,0,1,1,0,-1,East
18,5,East,4,4,16,17,16,12,-6,1,0,1,0,0,-1,North
18,6,North,4,4,14,16,14,10,-7,1,1,0,0,0,-1,North
18,7,North,4,4,14,15,14,9,-8,1,1,0,0,0,-1,North
18,8,North,4,4,12,13,14,8,-9,0,1,1,1,0,-1,West
17,8,West,4,4,10,11,13,7,-10,0,0,1,1,0,-1,West
16,8,West,4,4,8,11,11,8,-11,0,0,1,1,0,-1,West
15,8,West,4,4,7,9,9,8,-12,1,0,1,1,0,-1,North
15,9,North,4,4,7,9,9,8,-13,1,1,0,0,0,-1,North
15,10,North,4,4,6,8,9,7,-14,1,1,0,0,0,-1,North
15,11,North,4,4,4,7,7,6,-15,0,1,0,1,0,-1,East
16,11,East,4,4,6,9,9,5,-16,0,0,1,1,0,-1,East
17,11,East,4,4,7,9,10,5,-17,0,0,1,1,0,-1,East
18,11,East,4,4,9,9,10,6,-18,0,0,1,1,0,-1,East
19,11,East,4,4,10,9,11,7,-19,1,0,1,1,0,-1,North
19,12,North,4,4,10,9,9,7,-20,1,1,0,0,0,-1,North
19,13,North,4,4,9,9,9,6,-21,1,1,1,0,0,-1,North
19,14,North,4,4,9,8,9,6,-22,1,1,0,0,0,-1,North
19,15,North,4,4,7,7,9,5,-23,1,1,0,1,0,-1,North
19,16,North,4,4,5,6,9,5,-24,1,1,0,0,0,-1,North
19,17,North,4,4,7,5,11,6,-25,0,1,1,0,0,-1,West
18,17,West,4,4,5,5,9,5,-26,0,0,1,1,0,-1,West
17,17,West,4,4,5,4,9,4,-27,0,0,1,1,0,-1,West
16,17,West,4,4,4,2,8,2,-28,0,0,1,1,0,-1,West
15,17,West,4,4,4,2,7,2,-29,1,0,1,1,0,-1,West
14,17,West,4,4,2,4,6,1,-30,0,1,1,1,0,-1,South
14,16,South,4,3,2,4,4,-1,169,1,1,1,0,0,-1,South
14,15,South,4,2,-1,4,4,-1,368,1,0,1,1,0,-1,East
15,15,East,4,2,-1,2,4,-1,367,0,0,1,1,0,-1,East
16,15,East,4,2,-1,4,5,-1,366,0,0,1,1,0,-1,East
17,15,East,4,2,-1,4,7,-1,365,0,0,1,0,0,-1,West
