@relation 'all_data_pacman-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute 'Pacman y' numeric
@attribute ' prev_direction' {Stop,East,South,West,North}
@attribute ' score' numeric
@attribute ' direction' {Stop,East,South,West,North}

@data
4,North,664,North
5,North,663,Stop
5,North,662,Stop
5,North,661,Stop
5,North,660,East
5,East,659,East
5,East,658,East
5,East,657,North
6,North,656,North
7,North,655,North
8,North,654,North
9,North,653,East
9,East,652,East
9,East,651,East
9,East,650,East
9,East,649,South
8,South,648,South
7,South,647,South
